longitude,latitude,AnnualTs
11.82902701,78.92069377,-9.589631081
11.83736034,78.92069377,-1.174123406
16.40402699,78.74569377,-2.434815168
16.46236033,78.71236044,-2.218366623
16.38736033,78.7040271,-4.870434761
15.92069366,78.18736044,-1.928045273
16.02069366,78.17069377,-1.762363076
16.02902699,78.17069377,-1.772401929
16.03736033,78.17069377,-2.696925163
16.04569366,78.17069377,-2.982109547
16.05402699,78.17069377,-3.14725852
16.06236033,78.17069377,-1.94528532
16.07069366,78.17069377,-2.848478556
16.07902699,78.17069377,-3.47551465
-20.49597286,74.51236045,-5.128499031
-20.47930619,74.51236045,-7.190292835
-20.45430619,74.51236045,-6.88980484
-20.44597286,74.51236045,-3.725137234
-20.53763953,74.50402712,-6.359061241
-20.52930619,74.50402712,-5.953625679
-20.50430619,74.50402712,0.543511689
-20.46263953,74.50402712,-4.729938984
-20.55430619,74.49569379,-3.979361296
-20.47097286,74.49569379,-4.710749626
-20.56263953,74.48736045,-7.093370438
-20.51263953,74.48736045,-4.41417551
-20.50430619,74.48736045,-5.099048138
-20.49597286,74.48736045,-5.162104607
-20.55430619,74.47902712,-7.54022646
-20.58763953,74.47069379,-6.727852821
-20.57930619,74.47069379,-6.363110065
-20.55430619,74.47069379,-7.021092892
-20.59597286,74.46236045,-6.687859058
-20.58763953,74.46236045,-8.107862473
-20.57930619,74.46236045,-6.116497993
-20.57097286,74.46236045,-7.774484158
126.4790266,72.37069379,-7.522452831
147.4956931,70.82902713,5.338301659
-148.562639,70.2706938,-4.845283985
-138.9126391,69.57902714,-3.439672709
-148.837639,69.04569381,-2.069955111
-148.8293057,69.04569381,-2.002315998
161.3373597,68.61236048,-2.933777571
18.53736032,68.51236048,2.691991329
18.57069365,68.51236048,2.387268305
18.88736032,68.45402714,2.87063098
18.32069365,68.42902714,2.989994764
17.75402699,68.42069381,4.048814297
17.76236032,68.42069381,4.023919106
17.77069365,68.42069381,3.945146322
18.19569365,68.42069381,3.046738386
18.23736032,68.42069381,2.822579384
18.32902698,68.42069381,2.774995089
18.34569365,68.42069381,2.640961647
18.35402698,68.42069381,1.395858765
18.36236032,68.42069381,2.101108789
17.77069365,68.41236048,4.235750675
17.77902699,68.41236048,3.951108694
18.37069365,68.41236048,1.998550296
18.38736032,68.41236048,1.93052268
17.77069365,68.40402714,3.540780783
17.77902699,68.40402714,3.546300173
17.78736032,68.40402714,3.40760231
18.39569365,68.40402714,1.300008416
18.40402698,68.40402714,1.564237833
18.67069365,68.40402714,2.716614485
18.67902698,68.40402714,3.575540543
17.77069365,68.39569381,2.883589268
17.77902699,68.39569381,2.752592325
17.78736032,68.39569381,2.303828239
17.80402699,68.39569381,2.968318462
18.40402698,68.39569381,-0.014459555
18.42069365,68.39569381,0.045359295
18.43736032,68.39569381,-0.399411559
18.45402698,68.39569381,0.188299924
18.67069365,68.39569381,2.492877722
18.66236032,68.38736048,0.796737909
18.67069365,68.38736048,0.722111464
18.66236032,68.37902714,2.074988842
18.67069365,68.37069381,1.04755044
18.67902698,68.37069381,-0.734288871
18.49569365,68.36236048,-2.334714174
18.66236032,68.36236048,0.316655487
18.67069365,68.36236048,-0.537747383
18.67069365,68.35402714,0.082970895
18.92069365,68.31236048,0.427366674
19.17902698,68.31236048,2.725208044
21.37069364,68.30402714,-0.007410382
21.43736031,68.30402714,2.420729637
19.17069365,68.29569381,1.49692452
21.34569364,68.29569381,1.019693136
21.42069364,68.29569381,0.2626248
21.43736031,68.29569381,2.147106886
17.42902699,68.23736048,3.975732088
17.55402699,68.19569381,4.384894371
17.55402699,68.18736048,4.508179188
17.84569365,68.17902714,3.126267433
17.52069365,68.17069381,3.677604198
17.56236032,68.17069381,4.464872837
17.71236032,68.17069381,3.006894588
17.72069365,68.17069381,2.60257268
17.73736032,68.17069381,2.202623606
17.80402699,68.17069381,2.660828114
17.84569365,68.17069381,2.323612452
17.86236032,68.17069381,2.093636513
17.87069365,68.17069381,2.257755995
17.51236032,68.16236048,3.615009785
17.52069365,68.16236048,3.561988831
17.52902699,68.16236048,3.777609825
17.53736032,68.16236048,4.012607574
17.54569365,68.16236048,4.148923397
17.57069365,68.16236048,3.778173208
17.57902699,68.16236048,3.629795551
17.58736032,68.16236048,3.759788275
17.59569365,68.16236048,3.745599508
17.60402699,68.16236048,3.590593338
17.62069365,68.16236048,3.493674755
17.64569365,68.16236048,3.914691925
17.68736032,68.16236048,2.948532104
17.70402699,68.16236048,3.194555521
17.52902699,68.15402715,3.319593906
17.48736032,68.14569381,2.872085571
-149.6793057,68.02902715,0.577047646
24.21236029,67.99569381,3.974134207
-149.7459723,67.94569381,0.523960114
-162.2793056,67.93736048,0.394744456
-151.7459723,66.17902715,0.15042527
-17.09597287,65.90402715,2.497870684
-17.08763954,65.90402715,2.441958666
-17.09597287,65.89569382,2.544651508
-17.08763954,65.89569382,2.414001226
19.03736031,65.81236049,3.782479048
19.04569365,65.81236049,3.044991732
18.73736032,65.78736049,3.509070873
19.10402698,65.77069382,3.403609037
18.61236032,65.60402716,4.049214363
18.33736032,65.57902716,3.980268955
18.40402698,65.57069382,3.593236685
-164.712639,65.40402716,-1.35550952
19.43736031,65.37902716,4.132706642
-146.5959724,65.37069382,1.134851813
-19.6793062,65.13736049,1.354132414
-19.67097286,65.13736049,1.254033446
-19.66263953,65.13736049,0.92249161
-19.67097286,65.12902716,1.978459597
-19.66263953,65.12902716,1.116176128
-148.2793057,64.77069383,2.427932024
-148.2793057,64.76236049,3.555525541
-148.3043057,64.70402716,4.438914776
148.3040265,64.70402716,2.365613937
-156.712639,64.69569383,1.909332991
100.21236,64.28736049,2.038384676
19.55402698,64.17902716,5.237709999
19.45402698,64.11236049,4.067542076
-160.7459723,63.9123605,1.25058496
20.31236031,63.82069383,6.152354717
-147.6459724,63.30402716,2.510388613
17.19569366,63.1373605,4.801246643
17.22902699,63.09569383,4.727474689
17.17069366,63.0873605,4.750819206
17.17902699,63.0873605,4.507506371
17.24569366,63.07902717,4.682739258
17.21236032,63.0623605,4.66083622
17.39569365,63.0623605,4.876540661
17.52069365,63.02069383,4.999242306
29.78736027,63.02069383,5.441705704
17.47902699,62.97902717,5.100178719
17.27069366,62.97069383,4.729943275
17.50402699,62.97069383,4.898988724
17.07902699,62.9623605,4.419274807
17.11236032,62.9623605,4.639379501
17.43736032,62.9623605,4.82365942
17.17069366,62.94569383,4.619293213
17.43736032,62.9373605,4.626616478
17.21236032,62.92069383,4.557082653
17.18736032,62.9123605,4.862147808
17.47069365,62.9123605,4.772134304
17.47902699,62.9123605,4.577380657
17.55402699,62.90402717,4.88273716
17.25402699,62.89569383,4.731625557
17.43736032,62.89569383,4.156245232
17.55402699,62.89569383,4.593362808
17.57902699,62.87902717,4.691841125
17.56236032,62.87069383,5.143301487
30.3206936,62.87069383,5.744123459
30.3456936,62.87069383,5.454312801
17.45402699,62.8623605,4.931431293
17.42069365,62.84569383,4.432341576
17.51236032,62.82902717,4.538720131
17.41236032,62.79569383,5.297727108
30.93736027,62.7873605,5.388589859
30.9456936,62.7873605,5.803632259
29.77069361,62.70402717,6.987020016
29.73736027,62.69569383,5.488883495
29.67902694,62.67902717,5.562634468
29.57902694,62.67069383,5.926258087
29.58736027,62.67069383,6.059412003
29.07902694,62.64569383,5.225311756
-150.7793057,62.62902717,2.973275185
30.33736027,62.6123605,5.71794796
30.2706936,62.60402717,5.155641556
29.42902694,62.55402717,6.133231163
29.18736027,62.50402717,5.730042458
30.21236027,62.45402717,4.757555008
30.31236027,62.44569383,5.232223034
30.17902694,62.4373605,5.330752373
30.11236027,62.42069383,4.883929729
30.2206936,62.4123605,6.520528793
30.2206936,62.37069383,5.172085762
30.21236027,62.3623605,5.086639404
30.3206936,62.32902717,5.214308739
30.3706936,62.32902717,4.881647587
9.595693686,62.2623605,2.367845297
9.679027019,62.2623605,2.344139099
9.629027019,62.2373605,2.770111799
29.77069361,62.14569384,5.714323521
-165.1209723,61.36236051,3.321850061
-45.37097276,61.18736051,2.751005173
-45.38763943,61.17069384,2.163235903
-45.38763943,61.15402717,2.286780834
-45.37930609,61.15402717,2.951909781
6.629027031,61.08736051,3.945371389
9.079027021,61.03736051,5.125909805
-138.4043057,61.02902717,2.325864315
8.120693692,61.02069384,2.586305857
6.412360365,60.93736051,2.940988541
14.379027,60.88736051,5.727442265
7.170693696,60.87902717,5.47725296
7.179027029,60.87902717,4.657456875
7.179027029,60.82902717,3.435646772
7.279027029,60.82069384,2.480097532
8.704027023,60.82069384,4.815703392
89.3540267,60.80402717,4.949102402
5.962360367,60.68736051,5.150780678
6.337360366,60.66236051,5.406677246
6.512360365,60.54569384,3.965223074
17.83736032,60.12902718,5.550298214
17.92069365,60.12902718,6.364277363
17.47902699,60.08736051,6.147246838
-156.987639,59.82069385,2.672733307
-151.362639,59.68736051,4.396128654
-154.2793057,59.08736051,4.502045631
-156.5709723,58.67069385,3.633930922
-63.35430602,58.63736052,-0.826776803
-63.34597269,58.63736052,0.737311959
14.329027,58.02902719,7.856646538
-3.795972927,56.60402719,6.117479324
-4.320972925,56.50402719,5.270724773
9.587360353,56.48736053,5.879249573
32.92069359,56.46236053,6.015712261
32.90402693,56.44569386,6.948063374
14.76236033,56.35402719,8.28298378
13.554027,56.26236053,7.271208763
-2.862639598,55.90402719,9.064637184
-3.204306263,55.86236053,7.719302177
-3.245972929,55.79569386,7.571189404
12.08736034,55.68736053,9.375225067
12.19569368,55.68736053,9.442214012
12.10402701,55.67902719,9.60408783
13.08736034,55.66236053,7.304386616
12.09569368,55.5290272,12.24266911
11.64569368,55.48736053,7.845126152
89.9540267,54.77069387,2.393802881
90.0040267,54.7290272,6.715912819
18.07902699,54.72069387,8.508454323
18.42902698,54.2540272,8.655613899
18.13736032,54.23736053,7.73942852
12.32069368,54.12069387,8.984511375
13.51236034,54.0540272,8.867834091
13.51236034,54.04569387,8.944156647
13.68736034,53.86236054,9.947888374
20.46236031,53.61236054,8.27068615
6.354027032,53.39569387,11.55985641
13.12902701,53.38736054,9.05397892
14.729027,53.32069387,8.956978798
18.90402698,53.29569387,8.971797943
13.829027,53.11236054,9.32420826
14.56236033,52.71236054,9.4386549
16.29569366,52.43736054,10.7770834
5.687360368,52.25402721,9.925702095
